Name;Calories;Proteins
Kwark met Chrunchy;398;31,4
Bruin brood - 1 plak;76;4,5
Pindakaas - 18gr;115;4,9
Oude Kaas - 1 plak;20;1,2
Gebakken eitje;110;7,2
Handje walnoten - 20gr;135;2,9
Proteïne poeder - 30gr;116;23
Blauwe bessen - 75gr;37,5;0,3
Gekookt eitje;64;6,2
Cappuccino;63;1
Appel;55;0
Banaan;152;1,8
Halve Burrata - 72,5gr;117,5;5
Pasta - 100gr;99;4,5
Tomaat;16;0,5
Rijst - 75gr;266;5,3
Half stokbrood - 160gr;330;15,5
Gebakken kipfilet - 100gr;157;30
Gehakt - rund of varken - 100gr;209;19,1
Gamba's - 100gr;97;20,5
Courgette - 250gr;68;4,5
Aubergine - 300gr;60;3
Appeltaart - 1 stuk;310;5,3
Aardappelen - gekookt - 100gr;82;2
Aardappelen - gebakken - 100gr;126;2
Bier - blikje - 330ml;139;1,6
Bier - vaasje - 250ml;105;1,3
Bier - fluitje - 200ml;84;1
Bier - alcoholvij - 330ml;38;0,8
Margarine - 5gr;36;0
Hagelslag - 15gr;68;0,8
Spaghetti Bolognese - 400gr;484;22,8
Bitterbal;44;1,4
Appelflap;369;5,2
Appelstroop;55;0,6
Artisjok harten;46;2,7
Avocado - 1 stuk;150;2,1
Augurk - 1 stuk;7;0,6
Baklava - 1 stukje;348;3
Borrelnootjes - 30 gr - 1 handje;162;4,5
Brocolli - 200gr;58;6,4
Brownie 1 stuk;145;2,9
Cashewnootjes - 30gr - 1 handje;188;4,8
Champignons gebakken - 100gr;61;3,5
Cheeseburger;226;11,2
Chips - 20gr - 1 handje;110;1
Chocola - 10gr - 1 stukje;54,5;0,8
Nutella - 15gr;85;0,7
Ciabatta - 50gr;119;4,3
Cola - 200ml;88;0
Cola light - 200ml;2;0
Croissant;215;4,1
Creme fraiche - 15gr;50;0,4
Couscous - 100gr;183;7,5
Zoute Drop - 50gr;171;5
Zoete Drop - 50gr;175;5,5
Blauwe Druiven - 50gr;26;0,4
Witte Druiven - 50gr;28;0,2
Enery drink - 200ml;203;0
Entrecote - 125gr;249;33,1
Escargots - 100gr;80;16
Feta - 30gr;76;4,3
Falafel - 75gr;206;6,8
Gevulde koek;323;3,9
Ginger ale 200ml;30;0
Majonaise - 15gr;111;0,3
Bolletje roomijs - 75gr;193;2,9
Water ijsje - 75gr;96;0
Gefrituurde Inktvisring - 40gr;172;10
Jus d'orange - 200ml;94;1,4
Aardbeien Jam - 30gr;74;0,1
Vega kaasburger - 80gr;206;12,2
Kaassouffle - 70gr;282;5,3
Kaki;156;1
Kefir - 200ml;126;6,6
Kersen - 100gr;54;0,5
Ketjap zoet - 15ml;40;0,5
Ketjap zout - 15ml;19;1,7
Stroop - 15ml;46;0
Kibbeling - 150gr;402;36,8
Kippenboutje - 125gr;129;25,8
Kipsate met pindasaus - 130gr;298;19,5
Kiwi;38;0,8
Knakworst - 40gr;117;4,4
Komkommer - 100gr;14;0,6
Krenten - 30gr;99;0,6
Krenten bol - 50gr;142;3,8
Gyosa Prawn - 1 piece;25;0,5
